"","datetime","status"
"1",1999-01-01,"holiday"
"2",2000-01-01,"holiday"
"3",2001-01-01,"holiday"
"4",2002-01-01,"holiday"
"5",2003-01-01,"holiday"
"6",2004-01-01,"holiday"
"7",2005-01-01,"holiday"
"8",2006-01-01,"holiday"
"9",2007-01-01,"holiday"
"10",2008-01-01,"holiday"
"11",2009-01-01,"holiday"
"12",2010-01-01,"holiday"
"13",2011-01-01,"holiday"
"14",2012-01-01,"holiday"
"15",2013-01-01,"holiday"
"16",2014-01-01,"holiday"
"17",2015-01-01,"holiday"
"18",2016-01-01,"holiday"
"19",2017-01-01,"holiday"
"20",2018-01-01,"holiday"
"21",2019-01-01,"holiday"
"22",2020-01-01,"holiday"
"23",2021-01-01,"holiday"
"24",2022-01-01,"holiday"
"25",2023-01-01,"holiday"
"26",2024-01-01,"holiday"
"27",2025-01-01,"holiday"
"28",1999-02-06,"holiday"
"29",2000-02-05,"holiday"
"30",2001-02-03,"holiday"
"31",2002-02-02,"holiday"
"32",2003-02-01,"holiday"
"33",2004-02-01,"holiday"
"34",2005-02-05,"holiday"
"35",2006-02-04,"holiday"
"36",2007-02-03,"holiday"
"37",2008-02-02,"holiday"
"38",2009-02-01,"holiday"
"39",2010-02-06,"holiday"
"40",2011-02-05,"holiday"
"41",2012-02-04,"holiday"
"42",2013-02-02,"holiday"
"43",2014-02-01,"holiday"
"44",2015-02-01,"holiday"
"45",2016-02-06,"holiday"
"46",2017-02-04,"holiday"
"47",2018-02-03,"holiday"
"48",2019-02-02,"holiday"
"49",2020-02-01,"holiday"
"50",2021-02-06,"holiday"
"51",2022-02-05,"holiday"
"52",2023-02-04,"holiday"
"53",2024-02-03,"holiday"
"54",2025-02-01,"holiday"
"55",1999-03-06,"holiday"
"56",2000-03-04,"holiday"
"57",2001-03-03,"holiday"
"58",2002-03-02,"holiday"
"59",2003-03-01,"holiday"
"60",2004-03-06,"holiday"
"61",2005-03-05,"shortday"
"62",2006-03-04,"holiday"
"63",2007-03-03,"holiday"
"64",2008-03-01,"holiday"
"65",2009-03-01,"holiday"
"66",2010-03-06,"holiday"
"67",2011-03-05,"shortday"
"68",2012-03-03,"holiday"
"69",2013-03-02,"holiday"
"70",2014-03-01,"holiday"
"71",2015-03-01,"holiday"
"72",2016-03-05,"holiday"
"73",2017-03-04,"holiday"
"74",2018-03-03,"holiday"
"75",2019-03-02,"holiday"
"76",2020-03-01,"holiday"
"77",2021-03-06,"holiday"
"78",2022-03-05,"holiday"
"79",2023-03-04,"holiday"
"80",2024-03-02,"holiday"
"81",2025-03-01,"holiday"
"82",1999-04-03,"holiday"
"83",2000-04-01,"holiday"
"84",2001-04-01,"holiday"
"85",2002-04-06,"holiday"
"86",2003-04-05,"holiday"
"87",2004-04-03,"holiday"
"88",2005-04-02,"holiday"
"89",2006-04-01,"holiday"
"90",2007-04-01,"holiday"
"91",2008-04-05,"holiday"
"92",2009-04-04,"holiday"
"93",2010-04-03,"holiday"
"94",2011-04-02,"holiday"
"95",2012-04-01,"holiday"
"96",2013-04-06,"holiday"
"97",2014-04-05,"holiday"
"98",2015-04-04,"holiday"
"99",2016-04-02,"holiday"
"100",2017-04-01,"holiday"
"101",2018-04-01,"holiday"
"102",2019-04-06,"holiday"
"103",2020-04-04,"holiday"
"104",2021-04-03,"holiday"
"105",2022-04-02,"holiday"
"106",2023-04-01,"holiday"
"107",2024-04-06,"holiday"
"108",2025-04-05,"holiday"
"109",1999-05-01,"holiday"
"110",2000-05-01,"holiday"
"111",2001-05-01,"holiday"
"112",2002-05-01,"holiday"
"113",2003-05-01,"holiday"
"114",2004-05-01,"holiday"
"115",2005-05-01,"holiday"
"116",2006-05-01,"holiday"
"117",2007-05-01,"holiday"
"118",2008-05-01,"holiday"
"119",2009-05-01,"holiday"
"120",2010-05-01,"holiday"
"121",2011-05-01,"holiday"
"122",2012-05-01,"holiday"
"123",2013-05-01,"holiday"
"124",2014-05-01,"holiday"
"125",2015-05-01,"holiday"
"126",2016-05-01,"holiday"
"127",2017-05-01,"holiday"
"128",2018-05-01,"holiday"
"129",2019-05-01,"holiday"
"130",2020-05-01,"holiday"
"131",2021-05-01,"holiday"
"132",2022-05-01,"holiday"
"133",2023-05-01,"holiday"
"134",2024-05-01,"holiday"
"135",2025-05-01,"holiday"
"136",1999-06-05,"holiday"
"137",2000-06-03,"holiday"
"138",2001-06-02,"holiday"
"139",2002-06-01,"holiday"
"140",2003-06-01,"holiday"
"141",2004-06-05,"holiday"
"142",2005-06-04,"holiday"
"143",2006-06-03,"holiday"
"144",2007-06-02,"holiday"
"145",2008-06-01,"holiday"
"146",2009-06-06,"holiday"
"147",2010-06-05,"holiday"
"148",2011-06-04,"holiday"
"149",2012-06-02,"holiday"
"150",2013-06-01,"holiday"
"151",2014-06-01,"holiday"
"152",2015-06-06,"holiday"
"153",2016-06-04,"holiday"
"154",2017-06-03,"holiday"
"155",2018-06-02,"holiday"
"156",2019-06-01,"holiday"
"157",2020-06-06,"holiday"
"158",2021-06-05,"holiday"
"159",2022-06-04,"holiday"
"160",2023-06-03,"holiday"
"161",2024-06-01,"holiday"
"162",2025-06-01,"holiday"
"163",1999-07-03,"holiday"
"164",2000-07-01,"holiday"
"165",2001-07-01,"holiday"
"166",2002-07-06,"holiday"
"167",2003-07-05,"holiday"
"168",2004-07-03,"holiday"
"169",2005-07-02,"holiday"
"170",2006-07-01,"holiday"
"171",2007-07-01,"holiday"
